District_Original,District_Mapped,district_name,state_name,disruption_rate_pct,piped_water_coverage_pct,reliability_gap,mean_wvi_score,mean_cci_score,mean_idi_score,district_typology
YADADRI BHUVANAGIRI,YADADRI BHUVANAGIRI,Yadadri Bhuvanagiri,Telangana,21.78112128138467,51.015890980024714,-0.1261429326980767,38.611853632432975,54.09504332442868,4.581906389626603,Low Coverage High Disruption (Traditional Vulnerability)
SURYAPET,SURYAPET,Suryapet,Telangana,13.615042328918843,53.7292789365702,-8.113287330875915,38.63494800656056,52.76344948178234,4.241635916560199,Low Coverage Low Disruption (Resilient)
KHAMMAM,KHAMMAM,Khammam,Telangana,13.303982419213142,57.283518218425314,-8.181215618764195,38.633012278361896,52.51675618369492,4.147182067460001,High Coverage Low Disruption (Success)
MAHABUBABAD,MAHABUBABAD,Mahabubabad,Telangana,22.15090504576216,62.06965011950034,2.357591372856284,46.49224121607593,47.671460000119936,4.38491690047026,High Coverage High Disruption (Reliability Gap)
JANGAON,JANGAON,,,,,,,,,
WARANGAL (URBAN),WARANGAL,,,,,,,,,
WARANGAL (RURAL),WARANGAL,,,,,,,,,
JAYASHANKAR BHUPALAPALLY,J.BHUPALAPALLY,,,,,,,,,
PEDDAPALLI,PEDAPALLE,,,,,,,,,
JAGTIAL,JAGTIAL,,,,,,,,,
RANJANNA SIRCILLA,R. SIRCILLA,,,,,,,,,
MEDAK,MEDAK,Medak,Telangana,42.55856068251477,69.21195746343506,23.43069187824574,48.293646393767645,45.72384817139267,4.763750110153292,High Coverage High Disruption (Reliability Gap)
EAST SIANG,EAST SIANG,East Siang,Arunachal Pradesh,37.750721596655445,82.6916130169546,16.362484555135506,38.83059494723841,64.60515836836183,5.543921079998664,High Coverage High Disruption (Reliability Gap)
LONGDING,LONGDING,Longding,Arunachal Pradesh,54.491012427731874,78.9073783884541,37.290825755618386,51.48272400622162,49.60904324215266,5.1608944230091875,High Coverage High Disruption (Reliability Gap)
ARIYAL@R,ARIYALUR,Ariyalur,Tamil Nadu,14.20697315761346,92.37388808613449,-6.732089138574921,43.270934616395955,53.84976629098622,6.017570651585554,High Coverage Low Disruption (Success)
CHENGALPATTU,KANCHEEPURAM,Kancheepuram,Tamil Nadu,18.987977001906135,66.38071423334173,-4.002775319500106,26.139435639470957,63.55438268361009,5.773738580771024,High Coverage High Disruption (Reliability Gap)
