district_code,idi_slope,idi_slope_se,n_obs,n_piped
362.0,0.0173,0.0053,872,181
363.0,0.0173,0.0033,880,179
364.0,-0.0026,0.0039,848,388
365.0,0.0188,0.0036,604,180
366.0,0.0087,0.0034,612,227
367.0,0.013,0.0041,671,200
368.0,0.0137,0.0033,799,341
369.0,0.0224,0.0033,829,269
370.0,0.0126,0.0026,870,320
371.0,0.0133,0.0037,800,245
372.0,0.0005,0.0036,844,342
373.0,-0.0022,0.004,766,191
374.0,0.007,0.0046,796,296
375.0,0.0046,0.003,834,257
376.0,-0.005,0.0039,779,191
377.0,0.0096,0.0034,879,255
378.0,-0.004,0.0046,843,124
379.0,0.0119,0.0036,826,194
380.0,0.0078,0.0035,881,199
381.0,0.0238,0.0033,818,351
382.0,0.0239,0.0036,845,128
383.0,0.016,0.0034,625,207
384.0,0.0252,0.003,786,237
385.0,0.0123,0.0033,753,264
386.0,0.0138,0.0049,797,424
387.0,0.0268,0.0037,857,252
388.0,0.0097,0.0037,768,526
389.0,0.0033,0.0036,612,346
390.0,-0.0045,0.0077,642,126
391.0,0.0065,0.005,869,163
392.0,0.005,0.0037,858,191
393.0,0.0084,0.003,847,327
394.0,0.0027,0.0037,858,196
395.0,0.011,0.0041,892,176
396.0,0.0011,0.0039,814,414
397.0,-0.0043,0.0045,898,171
398.0,-0.0016,0.0035,804,220
399.0,0.0022,0.0044,857,189
400.0,-0.0005,0.0039,805,342
402.0,-0.0117,0.0045,797,315
403.0,-0.0138,0.0034,868,450
404.0,0.0094,0.0035,765,368
405.0,0.0095,0.0036,909,327
407.0,-0.0079,0.0033,875,470
408.0,0.0051,0.0035,900,627
411.0,0.0042,0.0028,905,490
412.0,-0.0064,0.0033,902,515
413.0,0.0059,0.0034,901,477
415.0,-0.004,0.0025,789,316
417.0,0.0062,0.0025,869,350
822.0,0.0015,0.0037,906,629
823.0,0.0064,0.0033,886,404
824.0,-0.0134,0.0049,745,232
825.0,0.0045,0.0024,857,417
826.0,-0.0031,0.0028,910,495
827.0,0.0098,0.0033,835,521
828.0,0.004,0.0024,841,373
829.0,-0.0058,0.0036,898,685
830.0,0.0034,0.0031,902,403
831.0,-0.0082,0.003,904,288
832.0,0.0034,0.0032,898,390
833.0,0.0057,0.0043,908,649
834.0,0.0016,0.0023,880,422
835.0,-0.003,0.0053,793,321
836.0,0.006,0.004,841,328
418.0,-0.0008,0.003,800,395
419.0,0.0004,0.0031,903,537
420.0,0.0029,0.0031,865,541
421.0,0.0105,0.0036,845,610
422.0,0.0107,0.0033,871,495
423.0,-0.0037,0.003,703,311
424.0,0.0173,0.0053,521,106
425.0,0.0025,0.0038,793,210
426.0,0.0113,0.0028,817,355
427.0,0.0182,0.0029,830,367
428.0,0.0072,0.0031,739,368
429.0,0.0087,0.0048,620,206
430.0,0.021,0.003,756,228
431.0,0.0178,0.0054,879,160
432.0,0.004,0.0037,826,655
433.0,0.0141,0.0037,676,444
434.0,0.0057,0.0033,809,575
435.0,-0.0019,0.003,835,543
437.0,0.009,0.0027,902,478
438.0,0.0054,0.0035,523,293
439.0,0.0032,0.0033,844,596
440.0,0.0038,0.0028,950,720
441.0,0.0068,0.003,897,570
442.0,0.0007,0.003,650,230
443.0,0.0155,0.0039,884,232
444.0,0.0107,0.0055,367,267
445.0,0.0088,0.0024,872,450
446.0,0.0043,0.0037,428,201
447.0,0.012,0.0025,812,383
448.0,0.0021,0.0034,937,523
449.0,0.0062,0.0028,894,495
450.0,0.0106,0.0043,710,240
452.0,0.0304,0.0039,957,418
453.0,0.0167,0.0043,644,137
454.0,0.0034,0.0034,774,333
455.0,0.0145,0.0026,838,400
456.0,0.0129,0.003,776,285
457.0,0.0072,0.003,765,354
458.0,-0.0053,0.0031,827,445
459.0,0.0097,0.0032,749,323
