district_code,district_name,state_name,disruption_rate_pct,piped_water_coverage_pct,reliability_gap,mean_wvi_score,mean_cci_score,mean_idi_score,district_typology,n_households,total_weighted_pop
222.0,Begusarai,Bihar,26.845692543646845,8.260244107590395,12.095259481467789,56.621086176344,44.485130373697714,2.296628286961964,Low Coverage High Disruption (Traditional Vulnerability),933,1699.3032429999998
471.0,Mahesana,Gujarat,33.218274066571176,83.03966392963889,11.983804285151827,40.533715069611034,59.464181340514905,5.56876268311572,High Coverage High Disruption (Reliability Gap),808,1132.1843399999998
434.0,Ratlam,Madhya Pradesh,31.836751608041343,73.13458688662588,11.954353298518733,42.97846540250837,58.18217263160323,5.013943330579768,High Coverage High Disruption (Reliability Gap),809,715.73875
905.0,Ranga Reddy,Telangana,35.66756457261775,67.901514559747,11.896491627412232,22.389755583524416,64.72603865322849,5.578632626516577,High Coverage High Disruption (Reliability Gap),568,911.380157
277.0,Imphal West,Manipur,34.03331750990702,41.17718593818388,11.844471730018842,22.201634810956357,58.262978465518486,5.0088290502398864,Low Coverage High Disruption (Traditional Vulnerability),734,217.721493
569.0,Udupi,Karnataka,34.69501272334808,25.399923351317916,11.76740383898698,39.65802397585479,66.4855150853262,3.0087228910068067,Low Coverage High Disruption (Traditional Vulnerability),820,582.31921
102.0,Churu,Unknown State,33.9619856886927,76.48365136575865,11.758599583201306,36.24959825749551,57.60342236843201,5.477009415806184,High Coverage High Disruption (Reliability Gap),775,782.0578350000001
563.0,Uttara Kannada,Karnataka,34.15008207832121,43.84077683219987,11.689571020230503,38.23128283196794,62.33315459560547,3.8218609895587985,Low Coverage High Disruption (Traditional Vulnerability),835,865.492239
861.0,Rajkot,Gujarat,35.67131589634886,85.66884127680123,11.686935119894752,27.22955621121846,71.70336519388646,6.121485001234118,High Coverage High Disruption (Reliability Gap),858,1331.5582200000001
15.0,Kulgam,Jammu & Kashmir,34.06122232339083,89.88755544899493,11.646678852437645,33.29530174053389,54.53036918165386,5.680842316598751,High Coverage High Disruption (Reliability Gap),862,175.09492300000002
248.0,Papum Pare,Arunachal Pradesh,34.5280775941657,78.31923872409115,11.598707996649146,37.334237633724136,64.99329869963995,5.21889432747315,High Coverage High Disruption (Reliability Gap),941,46.28471699999999
613.0,Karur,Tamil Nadu,32.29462976736252,94.80703264265854,11.348038815500715,35.84653856663416,54.484348001297455,6.276428978729122,High Coverage High Disruption (Reliability Gap),851,677.7813449999999
510.0,Yavatmal,Maharashtra,31.64261165816436,58.953160497484866,11.306336851022639,45.58196849329952,56.394432441324604,4.466605404810711,High Coverage High Disruption (Reliability Gap),809,1343.828043
119.0,Ajmer,Unknown State,35.33935592858569,78.53074549669137,11.257560565098057,29.13559084165031,66.22025763971428,5.697763825426069,High Coverage High Disruption (Reliability Gap),842,1147.764772
268.0,Longleng,Nagaland,26.846309948401487,84.58020790888314,11.210287851610762,54.30703974962107,38.75692347246692,5.517379114168705,High Coverage High Disruption (Reliability Gap),356,10.707479
625.0,Virudhunagar,Tamil Nadu,32.37137273679059,83.4683619681285,11.079293256454392,31.907266615412674,56.63551997333039,6.571905376776792,High Coverage High Disruption (Reliability Gap),837,1288.9689430000003
591.0,Kozhikode,Kerala,35.94131353181273,23.960752454864785,10.969942467178928,23.086671490752583,73.80537843390627,3.4424276660189554,Low Coverage High Disruption (Traditional Vulnerability),860,1716.260922
543.0,Vizianagaram,Andhra Pradesh,30.238194780971455,76.15924326048446,10.944640628845661,42.86884380716926,42.10490537836971,4.999664862616029,High Coverage High Disruption (Reliability Gap),793,1175.6671110000002
415.0,Narayanpur,Chhattisgarh,25.205447488187417,40.30183954104182,10.92653131495308,56.208134324004405,39.885294307349724,3.012496009045802,Low Coverage High Disruption (Traditional Vulnerability),789,61.019242000000006
834.0,Sukma,Chhattisgarh,23.82072545218508,46.35811565160234,10.863595746017813,62.18212020412916,34.441946387767366,3.1797486503933894,Low Coverage High Disruption (Traditional Vulnerability),880,110.57944499999999
618.0,Nagapattinam,Tamil Nadu,31.180430233001516,88.49597228159725,10.790255271621149,38.74232217199604,53.79904886991963,5.999169100279949,High Coverage High Disruption (Reliability Gap),856,1164.322212
28.0,Hamirpur,Himachal Pradesh,37.86604615500265,85.64593860549446,10.75447767679961,29.496391616779505,68.37601683655393,5.329208974019842,High Coverage High Disruption (Reliability Gap),792,240.12699300000003
609.0,Namakkal,Tamil Nadu,32.96112295079991,89.34839068630666,10.502975853795508,32.12108768782928,58.13192768632222,6.1948179000952,High Coverage High Disruption (Reliability Gap),871,1120.5394930000002
566.0,Chitradurga,Karnataka,31.531082384349485,72.29876932308156,9.977526742691776,40.253137517693055,56.36403786577496,5.200962400043134,High Coverage High Disruption (Reliability Gap),776,727.940117
279.0,Ukhrul,Manipur,26.083605597791838,44.13885775767953,9.84945673807676,49.42791636662013,39.78723320269852,3.3139819215656376,Low Coverage High Disruption (Traditional Vulnerability),530,41.264414
511.0,Nanded,Maharashtra,28.69794212038678,45.6508750592933,9.800498495778296,47.47546555863018,51.8374104966157,3.840342030607663,Low Coverage High Disruption (Traditional Vulnerability),830,1461.3286320000002
854.0,Gir Somnath,Gujarat,31.447118388978446,86.49920568705413,9.79886695979662,41.28454198040585,61.973007261628695,5.717967502696712,High Coverage High Disruption (Reliability Gap),877,497.076753
876.0,West Garo Hills,Meghalaya,29.634391931329958,53.821853127442985,9.790144326999275,44.83820862590849,54.58654984777223,4.146874889482252,Low Coverage High Disruption (Traditional Vulnerability),834,227.22594800000002
583.0,Bangalore Rural,Karnataka,33.314243842637254,66.50611650859635,9.499660981956467,33.88274812087725,64.03717123785388,5.418668502594517,High Coverage High Disruption (Reliability Gap),612,378.492724
